english,mirad
a house,tam
houses,tami
the house,ha tam
the houses,ha tami
a beautiful city,via dom
beautiful cities,via domi
the beautiful city,ha via dom
the beautiful cities,ha via domi
a big house,aga tam
big houses,aga tami
the big house,ha aga tam
the big houses,ha aga tami
a small house,oga tam
small houses,oga tami
the small house,ha oga tam
the small houses,ha oga tami
a car,pur
cars,puri
the car,ha pur
the cars,ha puri
a bird,pat
birds,pati
the bird,ha pat
the birds,ha pati
a book,dyes
books,dyesi
the book,ha dyes
the books,ha dyesi
this book,hia dyes
these books,hia dyesi
my book,ata dyes
my books,ata dyesi
your book,eta dyes
your books,eta dyesi
his or her book,ita dyes
his or her books,ita dyesi
our book,yata dyes
our books,yata dyesi
your book,yeta dyes
your books,yeta dyesi
their book,yita dyes
their books,yita dyesi
a person,tob
people,tobi
the person,ha tob
the people,ha tobi
a man,twob
men,twobi
the man,ha twob
the men,ha twobi
a woman,toyb
women,toybi
the woman,ha toyb
the women,ha toybi
a child,tobet
children,tobeti
a boy,twobet
boys,twobeti
a girl,toybet
girls,toybeti
a parent,ted
parents,tedi
a father,twed
fathers,twedi
a mother,teyd
mothers,teydi
a student,tixut
students,tixuti
the student,ha tixut
the students,ha tixuti
a teacher,tuxut
teachers,tuxuti
the teacher,ha tuxut
the teachers,ha tuxuti
a name,dyun
names,dyuni
the name,ha dyun
the names,ha dyuni
a desk,dresem
desks,dresemi
the desk,ha dresem
the desks,ha dresemi
this person,hit
these persons,hiti
that person,hut
those persons,huti
this person is beautiful,hit se via
that person is ugly,hut se vua
this person is beautiful and that one is ugly,hit se via ay hut se vua
this desk is small but good,hia dresem se oga oy fia
the desk is big,ha dresem se aga
the desks are big,ha dresemi se aga
the desk is small,ha dresem se oga
the desks are small,ha dresemi se oga
my teacher is good,ata tuxut se fia
my teacher is bad,ata tuxut se fua
your teacher is good,eta tuxut se fia
your teacher is bad,eta tuxut se fua
his or her teacher is good,ita tuxut se fia
his or her teacher is bad,ita tuxut se fua
our teacher is good,yata tuxut se fia
our teacher is bad,yata tuxut se fua
their teacher is good,yita tuxut se fia
their teacher is bad,yita tuxut se fua
this teacher is good,hia tuxut se fia
this teacher is bad,hia tuxut se fua
that teacher is good,hua tuxut se fia
that teacher is bad,hua tuxut se fua
this student is good,hia tixut se fia
this student is bad,hia tixut se fua
that student is good,hua tixut se fia
that student is bad,hua tixut se fua
this is a bad student,his se fua tixut
this is a good student,his se fia tixut
your name is ugly,eta dyun se vua
your name is beautiful,eta dyun se via
my name is bill,ata dyun se bill
your name is john,eta dyun se john
my life is good,ata tej se fia
my life is bad,ata tej se fua
your life is good,eta tej se fia
your life is bad,eta tej se fua
our life is good,yata tej se fia
our life is bad,yata tej se fua
yes,va
maybe,ve
no,vo
hello,hay
hey,hey
goodbye,hoy
yes goodbye,va hoy
no my name is bill,vo ata dyun se bill
maybe he or she is good and bad,ve it se fia ay fua
good,fia
bad,fua
beautiful,via
ugly,vua
big,aga
normal,ega
small,oga
fast,iga
slow,uga
hot,ama
cold,oma
happy,iva
sad,uva
true,vyaa
false,vyoa
clean,vyia
dirty,vyua
free,yiva
captive,yuva
innocent,yava
fair,yeva
guilty,yova
useful,fyia
harmful,fyua
i am,at se
you are,et se
he or she is,it se
we are,yat se
you all are,yet se
they are,yit se
i was,at sa
you were,et sa
he or she was,it sa
we were,yat sa
you all were,yet sa
they were,yit sa
i will be,at so
you will be,et so
he or she will be,it so
we will be,yat so
you all will be,yet so
they will be,yit so
i would be,at su
you would be,et su
he or she would be,it su
we would be,yat su
you all would be,yet su
they would be,yit su
be,su
i do,at xe
you do,et xe
he or she does,it xe
we do,yat xe
you all do,yet xe
they do,yit xe
i did,at xa
you did,et xa
he or she did,it xa
we did,yat xa
you all did,yet xa
they did,yit xa
i will do,at xo
you will do,et xo
he or she will do,it xo
we will do,yat xo
you all will do,yet xo
they will do,yit xo
i would do,at xu
you would do,et xu
he or she would do,it xu
we would do,yat xu
you all would do,yet xu
they would do,yit xu
do,xu
i come,at upe
you come,et upe
he or she comes,it upe
we come,yat upe
you all come,yet upe
they come,yit upe
i came,at upa
you came,et upa
he or she came,it upa
we came,yat upa
you all came,yet upa
they came,yit upa
i will come,at upo
you will come,et upo
he or she will come,it upo
we will come,yat upo
you all will come,yet upo
they will come,yit upo
i would come,at upu
you would come,et upu
he or she would come,it upu
we would come,yat upu
you all would come,yet upu
they would come,yit upu
come,upu
come here,upu him
do not come,von upu
i go,at pe
you go,et pe
he or she goes,it pe
we go,yat pe
you all go,yet pe
they go,yit pe
i went,at pa
you went,et pa
he or she went,it pa
we went,yat pa
you all went,yet pa
they went,yit pa
i will go,at po
you will go,et po
he or she will go,it po
we will go,yat po
you all will go,yet po
they will go,yit po
i would go,at pu
you would go,et pu
he or she would go,it pu
we would go,yat pu
you all would go,yet pu
they would go,yit pu
go home,pu tam
let s go,van yat pu
i work at home,at yexe be tam
you work at home,et yexe be tam
he or she works at home,it yexe be tam
we work at home,yat yexe be tam
you all work at home,yet yexe be tam
they work at home,yit yexe be tam
i worked at home,at yexa be tam
you worked at home,et yexa be tam
he or she worked at home,it yexa be tam
we worked at home,yat yexa be tam
you all worked at home,yet yexa be tam
they worked at home,yit yexa be tam
i will work at home,at yexo be tam
you will work at home,et yexo be tam
he or she will work at home,it yexo be tam
we will work at home,yat yexo be tam
you all will work at home,yet yexo be tam
they will work at home,yit yexo be tam
i live downtown now,at tambese zedom hij
you live downtown now,et tambese zedom hij
we live downtown now,yat tambese zedom hij
they live downtown now,yit tambese zedom hij
before this i lived in the suburbs,ja his at tambesa ha yuzdom
before this you lived in the suburbs,ja his et tambesa ha yuzdom
before this we lived in the suburbs,ja his yat tambesa ha yuzdom
before this they lived in the suburbs,ja his yit tambesa ha yuzdom
