id,english,commonness,mirad,roundtrip_english,semantic_similarity
13583317,Will he not give it to you?,6.7000,Duven wit vom ujo has bu et?,Will he not send it to you?,0.837952
11742098,"As for me, no!",6.6525,"Av at, vo!",No way!,0.733653
3905955,How could you do that to him?,6.5971,Hoyen et yafu xer hus bu it?,How could you do that to him?,1.000000
11948852,Will you do it again?,6.4860,Duven et xo hus gajod?,Will you do that thing again?,0.953092
11679900,I get up at 6.00 a.m.,6.4567,At ape bi yawa jwob bi maj.,I come at six in the morning.,0.897958
1357388,Will you go there?,6.4425,Duven et po hum?,Will you go there?,1.000000
5774154,That should be enough for now.,6.4200,Huas yeyfe greser av hij.,that should be enough for now,0.966234
6259929,Will you please do that again?,6.3583,Diwe xu hus gajod.,please do that again,0.899045
3741079,What have we done to each other?,6.3557,Duhos yat xa bu hyuit?,What did we do to each other?,0.913093
5756695,Who should get one?,6.2700,Duhot yuyve ber awa?,Who ought to pose one?,0.675679
7735831,You should go and see for yourselves.,6.1971,Yet yeyfu per ay teater av yeut.,You should go and see for yourselves.,1.000000
1894227,How good are you?,6.1200,Hoyen se et fia?,How are you?,0.787895
5745289,Do good wherever you can.,6.1200,Xu fi hyem et yafe.,Do good wherever you can.,1.000000
9210714,I know who's behind this.,6.1000,At te hot be zom bi his.,i know who is behind this,0.962162
2407736,I think I can do it.,6.0800,At texe van at yafe xer has.,I think that I can do it.,0.998450
2543920,We have everything we want.,6.0400,Yat baye hyas yat fe.,We have everything we want.,1.000000
7443059,They know they need to do that.,6.0350,Yit te van yit efe xer hus.,They know that they have to do that thing.,0.944222
7772536,I go.,6.0300,At pe.,I go.,1.000000
2967884,I think I need both of these.,6.0250,At texe at efe hyaewa bi hisi.,I think I need both of these things.,0.981180
2645067,I never said that to you.,6.0100,At hyoj da hus bu et.,I never said that to you.,1.000000
7399972,She said she got out of the way.,5.9767,Iyt da van iyt oyepa oyeb bi ha mep.,She said that she got off the road.,0.731020
3635536,"If you need me, call.",5.9700,"Ven et efe at, dyu.","If you need me, call.",1.000000
69363,Are you through with your work?,5.9600,Et se uja bay eta yex?,Are you done with your work?,0.950998
625872,I did not do it.,5.9600,At voy xa hus.,I did not do that.,0.974510
2796288,"Did you get that? ""No, not at all.""",5.9600,"Duven et bier hus? ""Vo, hyoyen.""","""Do you take that thing?"" ""No, in no way whatever.""",0.682173
2547306,I'd still like to try.,5.9550,At fu gaj yeker.,I would like to try again.,0.837492
3825462,I did nothing all day.,5.9550,At xa hyos hya jub.,I did nothing all day.,1.000000
4679357,I want to get better.,5.9000,At fe ga fiaser.,I want to become better.,0.952566
278725,Come on in and make yourself at home.,5.8900,Upu yeb ay xeu eut be tam.,Come in and behave yourself at home.,0.765935
271727,This is life!,5.8900,His se tej!,This is life!,1.000000
5405076,I always say that.,5.8900,At hyaj de hus.,I always say that.,1.000000
6912981,Do you want me to tell you what I think you should do with it?,5.8833,Duven et fe der at et hos at texe van et yeyfe xer bay has?,Do you want to tell me what I think that you should do with it?,0.983502
2372820,I just need some rest.,5.8767,At efe haway gle pon.,I just need a rest.,0.987736
2230657,"Over time, he got used to the new environment.",5.8240,"Jobkay, it yuktosba ha ejna yuzmir.","Eventually, he felt comfortable in the new environment.",0.872579
1107857,Fight like a man!,5.8200,Ebyexu gel twob.,Fight like a man.,0.983167
2548897,You would love it.,5.8200,Et ifu has.,You would love it.,1.000000
914025,What does he say?,5.8150,Duhos it de?,What does he say?,1.000000
3330662,I'm not the same man I used to be.,5.8100,At voy se ha hyia twob ho at bea.,I am not the same man I saw.,0.859465
8292599,I think that I can do that if I try.,5.7900,At texer van at yafe xer hus ven at yeke.,I think that I can do that if I try.,1.000000
10585962,I like the way you dance.,5.7833,At ifle hayen et daze.,I love the way thee dances.,0.905748
296184,He is to come here at five.,5.7800,Wit upo him be yo jwob.,He will come here at 5 o'clock.,0.962641
9493902,Which is hers?,5.7800,Duhas se iytas?,What is hers?,0.795833
8324505,Do you think I'm not trying?,5.7750,Duven et texe van at voy yeke?,Do you think that I am not trying?,0.994730
